"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"cluster_no"
"Rps291";2,94170169697253e-22;0,211684083454946;1;1;5,22034383144746e-18;"GW";"Rps29";2
"Rpl411";1,87212206270956e-18;0,232839953014345;0,999;1;3,32226781248439e-14;"GW";"Rpl41";2
"Scd22";4,01288910354274e-17;0,761422342376306;0,839;0,483;7,12127300314696e-13;"GW";"Scd2";2
"Hmgcs21";6,13140652699688e-15;0,629769946738829;0,434;0,028;1,08807940228087e-10;"GW";"Hmgcs2";2
"Acot12";1,92508548481755e-13;0,600504622690282;0,862;0,621;3,41625670135723e-09;"GW";"Acot1";2
"Abca12";6,91056936629866e-13;0,403845689976228;0,288;0,009;1,22634963974336e-08;"GW";"Abca1";2
"Rpl381";1,3416819370809e-11;0,205652161401165;0,999;1;2,38094876554376e-07;"GW";"Rpl38";2
"Scd12";1,04331968456609e-10;0,383115839558359;0,331;0,063;1,85147511223098e-06;"GW";"Scd1";2
"Srebf12";1,40278026834945e-10;0,412388499540035;0,409;0,123;2,48937386421293e-06;"GW";"Srebf1";2
"Fabp12";5,81907322522457e-10;0,575938633356255;0,549;0,36;1,03265273454835e-05;"GW";"Fabp1";2
"Lpcat32";2,37486559923268e-09;0,429030470031026;0,66;0,4;4,21443649239831e-05;"GW";"Lpcat3";2
"Soat12";5,90752009723409e-09;0,392322066743185;0,813;0,67;0,000104834851645516;"GW";"Soat1";2
"Dbi1";6,97986507429488e-08;0,302636221396342;0,997;0,997;0,00123864685608437;"GW";"Dbi";2
"Gsta41";5,57805634984192e-07;0,365861636466697;0,664;0,466;0,00989881879842947;"GW";"Gsta4";2
"H2-Q102";8,02280152586625e-07;0,397695380867051;0,433;0,207;0,0142372635878023;"GW";"H2-Q10";2
"Acadl2";6,54809594941457e-06;0,361741087257965;0,484;0,257;0,116202510718311;"GW";"Acadl";2
"Fgfbp1";9,34404918260587e-05;0,204141089111062;0,854;0,786;1;"GW";"Fgfbp1";2
"Etfb";9,95156948850825e-05;0,210320435828181;0,915;0,874;1;"GW";"Etfb";2
"Cyba2";0,000147403926492241;0,29528336393625;0,886;0,804;1;"GW";"Cyba";2
"Acsl32";0,000295177777092857;0,325568783550699;0,562;0,346;1;"GW";"Acsl3";2
"Eci2";0,000650844064609838;0,201231963818876;0,642;0,538;1;"GW";"Eci2";2
"Mif2";0,00128492470764211;0,329771535260327;0,989;0,976;1;"GW";"Mif";2
"Fasn2";0,00230396133065794;0,239632811546379;0,321;0,161;1;"GW";"Fasn";2
"S100g";0,00492682767094054;0,295443249696772;0,607;0,484;1;"GW";"S100g";2
"Mid1ip12";0,00512948935597459;0,222933097159245;0,362;0,23;1;"GW";"Mid1ip1";2
"Idi12";7,37704224086823e-12;0,431474822489422;0,904;0,726;1,30912991606448e-07;"DMSO";"Idi1";3
"Oat3";6,64486354477655e-11;0,338058124250434;0,996;0,984;1,17919748465605e-06;"DMSO";"Oat";3
"Cyp512";6,97303153317794e-11;0,320016258992219;0,762;0,543;1,23743417587776e-06;"DMSO";"Cyp51";3
"Plac82";5,20410953502637e-09;0,328884088897306;0,978;0,914;9,23521278085779e-05;"DMSO";"Plac8";3
"Lypd83";1,10130587284917e-07;0,291805611317311;0,992;0,981;0,00195437740195814;"DMSO";"Lypd8";3
"Fdps2";1,06992209121408e-06;0,339722830266991;0,946;0,87;0,0189868374306851;"DMSO";"Fdps";3
"Msmo12";1,81390012337238e-06;0,429926707785548;0,758;0,501;0,0321894715893662;"DMSO";"Msmo1";3
"Mgst31";4,77624535205856e-06;0,217593638730767;0,989;0,976;0,0847592500176312;"DMSO";"Mgst3";3
"Sdhd1";1,03697005375139e-05;0,231051750183874;0,917;0,832;0,184020705738722;"DMSO";"Sdhd";3
"Smim243";1,33699898748069e-05;0,343523383776976;0,808;0,585;0,237263840318323;"DMSO";"Smim24";3
"Lgals21";1,90099998091903e-05;0,219407671852876;1;0,999;0,337351456613891;"DMSO";"Lgals2";3
"Hmgcs12";0,000528671374306802;0,245128814031509;0,669;0,495;1;"DMSO";"Hmgcs1";3
"Hmgcr2";0,00175424793081824;0,217280422160073;0,672;0,515;1;"DMSO";"Hmgcr";3
"Aldob2";0,0018639193144427;0,26549063219374;0,784;0,605;1;"DMSO";"Aldob";3
"Fdft12";0,00376091247925886;0,206904190444061;0,539;0,316;1;"DMSO";"Fdft1";3
"Cldn152";0,00514504109338365;0,214705159930109;0,83;0,691;1;"DMSO";"Cldn15";3
"Pdgfa";0,00689526267905871;0,221871376091962;0,702;0,588;1;"DMSO";"Pdgfa";3
"Rpl412";1,15417367925693e-21;0,213603706968723;1;1;2,04819661120936e-17;"GW";"Rpl41";3
"Acot13";1,84477034727821e-20;0,577860665946848;0,908;0,682;3,27372945827992e-16;"GW";"Acot1";3
"Rps292";2,90876131419012e-16;0,200567237966977;1;1;5,16188782816179e-12;"GW";"Rps29";3
"Scd13";1,78844682980659e-15;0,482456406419145;0,615;0,24;3,17377774417477e-11;"GW";"Scd1";3
"Rpl382";6,01316563265979e-15;0,205208225715478;1;1;1,06709637317181e-10;"GW";"Rpl38";3
"Fabp13";1,64502682987139e-14;1,43479254163725;0,789;0,541;2,91926461228976e-10;"GW";"Fabp1";3
"Hmgcs22";3,44882758202194e-12;0,357050466059988;0,341;0,013;6,12028942705613e-08;"GW";"Hmgcs2";3
"Scd23";1,1462629194496e-10;0,444000759373117;0,97;0,848;2,03415817685527e-06;"GW";"Scd2";3
"Dbi2";1,97331838312603e-10;0,214459393861027;1;1;3,50185080269546e-06;"GW";"Dbi";3
"Fabp52";1,71006486147013e-09;0,490392765379035;0,864;0,707;3,0346811031649e-05;"GW";"Fabp5";3
"Lpcat33";1,71703460786905e-09;0,353679478376024;0,819;0,633;3,04704961512441e-05;"GW";"Lpcat3";3
"Mid1ip13";4,12936272628584e-09;0,299133887614272;0,672;0,505;7,32796709406685e-05;"GW";"Mid1ip1";3
"Mif3";6,16126028138541e-09;0,266795306851892;0,999;1;0,000109337724953466;"GW";"Mif";3
"Soat13";7,97443415384002e-09;0,342576776428419;0,765;0,6;0,000141514308494045;"GW";"Soat1";3
"Abca13";5,68033237819229e-08;0,208294210465405;0,212;0,003;0,001008031783834;"GW";"Abca1";3
"H2-Q103";1,77201204887451e-07;0,355128494733419;0,827;0,639;0,0031446125819327;"GW";"H2-Q10";3
"Cyba3";1,57229237419222e-06;0,308095046436736;0,92;0,83;0,0279019004724152;"GW";"Cyba";3
"Acadl3";3,38011448335399e-06;0,320536968893217;0,771;0,584;0,0599835116215999;"GW";"Acadl";3
"Akr1b82";4,68628368430723e-06;0,328377235501589;0,427;0,172;0,0831627902617161;"GW";"Akr1b8";3
"Srebf13";7,5916539960688e-06;0,30152527818946;0,481;0,218;0,134721491814237;"GW";"Srebf1";3
"Gsta42";6,94392597923313e-05;0,217705662666098;0,832;0,687;1;"GW";"Gsta4";3
"Sycn1";0,000359703561432407;0,248760665289379;0,467;0,374;1;"GW";"Sycn";3
"Gng111";0,000370605441504022;0,216824351455327;0,411;0,222;1;"GW";"Gng11";3
"Acsl33";0,000418647877615114;0,26395445312271;0,708;0,576;1;"GW";"Acsl3";3
"Fasn3";0,00127777674744477;0,217870182808039;0,567;0,412;1;"GW";"Fasn";3
"Idi13";1,32312928038904e-10;0,505886847741712;0,929;0,758;2,34802522097839e-06;"DMSO";"Idi1";4
"Oat4";1,45522969943311e-10;0,326905239682038;0,998;0,982;2,58245062461399e-06;"DMSO";"Oat";4
"Fdps3";7,90211755297147e-09;0,439151421273324;0,967;0,911;0,000140230978095032;"DMSO";"Fdps";4
"Msmo13";1,51365874601244e-08;0,39601448639275;0,776;0,519;0,000268613881067368;"DMSO";"Msmo1";4
"Mgst32";3,70806378408052e-08;0,262180267185458;0,985;0,971;0,000658032999122929;"DMSO";"Mgst3";4
"Pycard1";5,44041313169329e-08;0,221685183679442;0,999;0,995;0,000965455714350291;"DMSO";"Pycard";4
"Lgals22";1,00510609125456e-07;0,207208524786211;1;1;0,00178366126954034;"DMSO";"Lgals2";4
"Smim244";3,27452871261382e-07;0,314973548257795;0,842;0,658;0,00581097865340449;"DMSO";"Smim24";4
"Lypd84";2,72798507461605e-06;0,284894935325855;0,988;0,96;0,0484108231341364;"DMSO";"Lypd8";4
"Rbp71";2,88366901467553e-06;0,222779117000983;0,377;0,193;0,051173590334432;"DMSO";"Rbp7";4
"Plac83";3,22782641760741e-06;0,298804105756236;0,958;0,884;0,0572810076068612;"DMSO";"Plac8";4
"Cth1";6,94897209452263e-06;0,343275853201625;0,778;0,582;0,123316458789399;"DMSO";"Cth";4
"Akr1c19";9,72185868067723e-06;0,220345841048299;0,659;0,544;0,172524104147298;"DMSO";"Akr1c19";4
"Sdhd2";0,000134053842113831;0,204769868916305;0,916;0,843;1;"DMSO";"Sdhd";4
"Cyp513";0,000552567960119786;0,345263126260616;0,793;0,551;1;"DMSO";"Cyp51";4
"Rbp2";0,0023071443477671;0,248734451925671;0,375;0,215;1;"DMSO";"Rbp2";4
"Gstp1";0,00421342367728387;0,213973761517882;0,95;0,922;1;"DMSO";"Gstp1";4
"Rpl413";7,91023265461993e-25;0,220808975827826;1;1;1,40374988688885e-20;"GW";"Rpl41";4
"Rps293";7,69630024242435e-21;0,207349798443516;1;1;1,36578544102062e-16;"GW";"Rps29";4
"Acot14";9,59620308099279e-19;0,612328567808872;0,915;0,691;1,70294219875298e-14;"GW";"Acot1";4
"Scd14";3,41196795903338e-14;0,469774024808829;0,622;0,297;6,05487834010063e-10;"GW";"Scd1";4
"Rps21";3,5623109879545e-14;0,20305078550372;1;1;6,32167707922406e-10;"GW";"Rps21";4
"Hmgcs23";6,56677258539883e-13;0,339352072997397;0,296;0,015;1,16533946300488e-08;"GW";"Hmgcs2";4
"Fabp14";1,39314333711002e-11;1,23126962162656;0,785;0,564;2,47227216603543e-07;"GW";"Fabp1";4
"Fabp53";1,59092811208635e-11;0,508376593127687;0,834;0,703;2,82326102770844e-07;"GW";"Fabp5";4
"Scd24";2,49702004053857e-08;0,417534690675312;0,96;0,849;0,000443121176393975;"GW";"Scd2";4
"Gng112";1,22376469620765e-07;0,274451860328371;0,394;0,184;0,00217169282989009;"GW";"Gng11";4
"Cyba4";6,57071787280416e-07;0,402925345390726;0,824;0,667;0,0116603959370783;"GW";"Cyba";4
"Lpcat34";7,96626134598121e-07;0,364635491069541;0,766;0,555;0,0141369273845783;"GW";"Lpcat3";4
"Soat14";1,43205693227907e-06;0,333549571591105;0,693;0,509;0,0254132823202243;"GW";"Soat1";4
"Srebf14";3,0953622467609e-05;0,314843159282872;0,478;0,196;0,549302984310189;"GW";"Srebf1";4
"Acadl4";3,15951254678124e-05;0,287465445659944;0,758;0,615;0,560687096551799;"GW";"Acadl";4
"Acsl34";0,000170405905511165;0,266333688509384;0,744;0,634;1;"GW";"Acsl3";4
"Akr1b83";0,00134912731954568;0,34027746973948;0,45;0,241;1;"GW";"Akr1b8";4
"H2-Q104";0,00495359995243786;0,222394559964958;0,796;0,691;1;"GW";"H2-Q10";4
"Idi14";2,56787277067457e-19;0,542370101221627;0,959;0,821;4,55694701883909e-15;"DMSO";"Idi1";5
"Msmo14";1,21786366136082e-16;0,498975994905848;0,877;0,593;2,16122085345092e-12;"DMSO";"Msmo1";5
"Fdps4";5,0856139006195e-14;0,458986700845459;0,972;0,949;9,02493042803936e-10;"DMSO";"Fdps";5
"Cyp514";6,4025854731062e-14;0,404755658282045;0,863;0,608;1,13620281805743e-09;"DMSO";"Cyp51";5
"Oat5";3,20338999293881e-09;0,311574665282121;0,992;0,981;5,68473588146922e-05;"DMSO";"Oat";5
"Sdc4";2,12655695902961e-07;0,208900488102946;0,959;0,895;0,00377378797949395;"DMSO";"Sdc4";5
"Sdhd3";2,81331984828743e-07;0,247224037820493;0,962;0,891;0,00499251740277088;"DMSO";"Sdhd";5
"Smim245";3,15180230534142e-07;0,275555703133414;0,808;0,599;0,00559318837105888;"DMSO";"Smim24";5
"Hmgcs13";5,14462282068203e-07;0,298950060329645;0,801;0,59;0,00912964765758232;"DMSO";"Hmgcs1";5
"Sqle2";6,14434965311853e-07;0,27966047770333;0,648;0,369;0,0109037628944241;"DMSO";"Sqle";5
"Plac84";6,90849608519631e-07;0,25268714578249;0,963;0,901;0,0122598171527894;"DMSO";"Plac8";5
"Hmgcr3";3,49750587292508e-06;0,296891900368569;0,82;0,628;0,0620667392209285;"DMSO";"Hmgcr";5
"Lypd85";5,08931946354607e-06;0,2661032545738;0,999;0,988;0,0903150632000885;"DMSO";"Lypd8";5
"Cldn153";6,24209826410923e-06;0,205249764742387;0,894;0,765;0,110772275794882;"DMSO";"Cldn15";5
"Lgals23";1,34848410218901e-05;0,219695146687855;1;1;0,239301988774462;"DMSO";"Lgals2";5
"Fdft13";3,15457517754895e-05;0,21800949587754;0,673;0,456;0,559810911007837;"DMSO";"Fdft1";5
"Rpa3";0,000151140559389267;0,226465380291935;0,84;0,654;1;"DMSO";"Rpa3";5
"Fabp15";9,75289514774502e-21;1,56293571913471;0,841;0,573;1,73074877291883e-16;"GW";"Fabp1";5
"Fabp54";5,79636472668067e-18;0,532885032434696;0,941;0,855;1,02862288439675e-13;"GW";"Fabp5";5
"Rpl383";6,33878786423507e-17;0,203850993489507;1;1;1,12488129438716e-12;"GW";"Rpl38";5
"Acot15";3,04751099169126e-16;0,566175247730966;0,914;0,68;5,40811300585531e-12;"GW";"Acot1";5
"Hmgcs24";3,38451296823743e-15;0,30565072744681;0,335;0,013;6,00615671343414e-11;"GW";"Hmgcs2";5
"Rps294";2,33616139318314e-14;0,203240829861881;1;1;4,1457520083428e-10;"GW";"Rps29";5
"Scd15";8,95392877556836e-13;0,392081296411551;0,644;0,332;1,58896420051236e-08;"GW";"Scd1";5
"Lpcat35";1,63285771081161e-11;0,356960219893545;0,861;0,663;2,89766929360628e-07;"GW";"Lpcat3";5
"Dbi3";1,03392469351528e-10;0,203921490842844;1;1;1,83480276111222e-06;"GW";"Dbi";5
"Scd25";1,27935406013722e-10;0,425345990233074;0,974;0,923;2,27034171511951e-06;"GW";"Scd2";5
"Akr1b84";4,28264829331834e-10;0,284266435177164;0,472;0,237;7,59998766132273e-06;"GW";"Akr1b8";5
"Cyba5";7,66924361621382e-09;0,333225829068567;0,941;0,858;0,00013609839721333;"GW";"Cyba";5
"Gng113";4,56352197371888e-08;0,200896268412405;0,484;0,307;0,000809842609456153;"GW";"Gng11";5
"Mid1ip14";1,437450341025e-07;0,285266098806664;0,712;0,581;0,00255089937518296;"GW";"Mid1ip1";5
"Mif4";1,57187910114519e-07;0,235585681016786;0,999;1;0,00278945665289225;"GW";"Mif";5
"Acsl35";1,72259614716519e-07;0,228293560755357;0,792;0,674;0,00305691912275935;"GW";"Acsl3";5
"Acadl5";3,46746138693973e-07;0,293518305149601;0,857;0,694;0,00615335697726324;"GW";"Acadl";5
"Soat15";3,57127818728492e-06;0,33909374241328;0,791;0,63;0,0633759027115582;"GW";"Soat1";5
"Srebf15";1,0962215544633e-05;0,324088130172729;0,573;0,276;0,194535477055057;"GW";"Srebf1";5
"H2-Q105";1,42368051115754e-05;0,208076436654546;0,865;0,776;0,252646343510018;"GW";"H2-Q10";5
"Gsta43";5,90849645778749e-05;0,204904072072325;0,825;0,72;1;"GW";"Gsta4";5
"Fam162a1";0,000323123433848294;0,203512445160085;0,992;0,983;1;"GW";"Fam162a";5
"Idi15";3,93709411763165e-07;0,365266745121447;0,677;0,502;0,00698676722114912;"DMSO";"Idi1";6
"Msmo15";2,81609794044174e-06;0,33641377557381;0,607;0,413;0,0499744740510791;"DMSO";"Msmo1";6
"Sdf2l1";7,19037063844702e-06;0,258889184534546;0,648;0,502;0,127600317349881;"DMSO";"Sdf2l1";6
"Cyp515";0,000221701393227482;0,344967467505287;0,604;0,444;1;"DMSO";"Cyp51";6
"Fdps5";0,00078771899130864;0,262697352420405;0,832;0,783;1;"DMSO";"Fdps";6
"Oat6";0,00135100747456041;0,213136887079592;0,647;0,508;1;"DMSO";"Oat";6
"Gm11231";0,00154626149415728;0,207045062548589;0,872;0,806;1;"DMSO";"Gm1123";6
"Agr2";0,00298067772894799;0,4784018617651;0,918;0,881;1;"DMSO";"Agr2";6
"Smim246";0,00347453846368707;0,225557706229164;0,713;0,567;1;"DMSO";"Smim24";6
"Scd26";1,69658391369906e-17;0,746335469121872;0,962;0,74;3,01075781325035e-13;"GW";"Scd2";6
"Rpl414";1,88300202293087e-11;0,205832305225825;0,999;1;3,34157538989313e-07;"GW";"Rpl41";6
"Rpl384";2,57736270325053e-11;0,218768331576956;0,999;0,999;4,57378785318838e-07;"GW";"Rpl38";6
"Rps295";3,09018935959679e-10;0,235170867763415;1;1;5,48385003754046e-06;"GW";"Rps29";6
"Rpl37a";1,02693557368121e-09;0,203335292137727;1;1;1,82239986905467e-05;"GW";"Rpl37a";6
"Abca14";2,50392936768047e-09;0,33163956367792;0,257;0;4,44347305588576e-05;"GW";"Abca1";6
"Rps28";1,15776472171933e-08;0,21834284413544;0,999;0,997;0,000205456927516313;"GW";"Rps28";6
"Rpl361";2,50792680194266e-08;0,230919342993126;0,998;0,998;0,000445056690272745;"GW";"Rpl36";6
"Srebf16";2,5743728190736e-08;0,405589299093769;0,409;0,135;0,000456848200472802;"GW";"Srebf1";6
"Rpl37";3,15183277660003e-08;0,229028902998858;1;0,999;0,000559324244535441;"GW";"Rpl37";6
"Hmgcs25";1,04957027779231e-07;0,240954251338678;0,161;0,004;0,00186256741497023;"GW";"Hmgcs2";6
"Scd16";1,0630284075383e-07;0,469561470600899;0,421;0,121;0,00188645021201748;"GW";"Scd1";6
