"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"cluster_no"
"Eif4b";0,000827704674026001;0,268853003957858;0,571;0,373;1;"DMSO";"Eif4b";8
"Rbm38";0,000963519276104125;0,328027926826877;0,571;0,392;1;"DMSO";"Rbm38";8
"Baz2b";0,00111570564780778;0,2309995287674;0,471;0,301;1;"DMSO";"Baz2b";8
"Gadd45gip1";0,00113475264277762;0,262005516311645;0,553;0,343;1;"DMSO";"Gadd45gip1";8
"Papola";0,0012658383348384;0,21672481877496;0,6;0,367;1;"DMSO";"Papola";8
"St6galnac2";0,00183602421738643;0,238730017844773;0,653;0,476;1;"DMSO";"St6galnac2";8
"Jade1";0,00183824189759628;0,2461407640514;0,276;0,114;1;"DMSO";"Jade1";8
"Fblim1";0,00202378105788844;0,209653045266972;0,294;0,145;1;"DMSO";"Fblim1";8
"Krt19";0,0020923681084531;0,314416695791439;0,412;0,271;1;"DMSO";"Krt19";8
"Kmt2c";0,00215114317274042;0,301898844883413;0,359;0,205;1;"DMSO";"Kmt2c";8
"Rpl9-ps6";0,0023808835796668;0,221549198960027;0,359;0,205;1;"DMSO";"Rpl9-ps6";8
"Med8";0,00250000506415665;0,227525093191571;0,6;0,392;1;"DMSO";"Med8";8
"Man2a1";0,00270117222428805;0,218469341322131;0,412;0,253;1;"DMSO";"Man2a1";8
"Cd24a1";0,00299363137710688;0,257602344421711;0,988;1;1;"DMSO";"Cd24a";8
"Sqle3";0,00339224537501167;0,265204651728472;0,394;0,241;1;"DMSO";"Sqle";8
"Cyp516";0,00346238136877991;0,38671407127319;0,606;0,428;1;"DMSO";"Cyp51";8
"Fdft14";0,00387353730102784;0,317579480156629;0,588;0,367;1;"DMSO";"Fdft1";8
"Ap1b1";0,00401549306374754;0,207603634178554;0,194;0,09;1;"DMSO";"Ap1b1";8
"Atp2a3";0,00536222960379941;0,312280426550486;0,906;0,819;1;"DMSO";"Atp2a3";8
"Ccnl1";0,00571286718388677;0,236327472509204;0,429;0,241;1;"DMSO";"Ccnl1";8
"Zdhhc17";0,0060186389858222;0,22710848814382;0,365;0,205;1;"DMSO";"Zdhhc17";8
"Aopep";0,00614699989228285;0,231361013581857;0,465;0,307;1;"DMSO";"Aopep";8
"Mtss1";0,00679064198464361;0,257725092473165;0,441;0,283;1;"DMSO";"Mtss1";8
"Cptp";0,00698233560612732;0,218311121899085;0,282;0,157;1;"DMSO";"Cptp";8
