"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Eef1b2";7,01345715888325e-43;-0,3584950536295;0,882;0,891;1,57367951731022e-38;"Eef1b2"
"Hspd1";9,61031902694036e-43;-0,495096043781946;0,671;0,73;2,15636338326488e-38;"Hspd1"
"Por";1,21853128460535e-42;0,308368350148657;0,48;0,358;2,73414049639748e-38;"Por"
"Dbi";1,61789367009441e-42;0,664679567422828;0,908;0,88;3,63022981695785e-38;"Dbi"
"Tspan8";1,82566401496936e-42;-0,416036211279508;0,601;0,686;4,09642491678825e-38;"Tspan8"
"Csrp2";9,69671992334273e-41;-0,494562907150418;0,423;0,545;2,17575001639964e-36;"Csrp2"
"Ptma";3,37050317082632e-40;-0,410895034865359;0,948;0,955;7,56273501470009e-36;"Ptma"
"Stmn1";3,74216737990736e-40;-0,574064741922953;0,328;0,471;8,39667516703613e-36;"Stmn1"
"Hspe1";4,60374619863166e-39;-0,347374631634102;0,806;0,843;1,03298857204897e-34;"Hspe1"
"Dpep1";4,95574450554511e-39;0,307595800166171;0,311;0,184;1,11196995215421e-34;"Dpep1"
"Acadl";7,3583552353464e-39;0,357402003892241;0,669;0,614;1,65106774770702e-34;"Acadl"
"Ifitm2";8,30149149609614e-39;-0,486552320419265;0,395;0,527;1,86268866189405e-34;"Ifitm2"
"Cyp4b1";1,0448336677036e-38;0,127080835167341;0,177;0,079;2,34439778359333e-34;"Cyp4b1"
"Pxmp4";1,27739319158279e-38;0,157621227612034;0,362;0,226;2,86621484327346e-34;"Pxmp4"
"Actg1";1,34112354475895e-38;-0,219541447687998;0,954;0,949;3,00921300973014e-34;"Actg1"
"Gm1123";1,35073718223604e-38;-0,375448155256308;0,553;0,63;3,03078408950123e-34;"Gm1123"
"Cyp2c68";3,97162581962589e-38;0,279469975932622;0,378;0,254;8,91153401407657e-34;"Cyp2c68"
"Npm1";5,87122765892247e-38;-0,444055181646774;0,828;0,858;1,31738606210902e-33;"Npm1"
"Apoa1";6,44728394939744e-38;1,03214583676158;0,703;0,609;1,4466415725658e-33;"Apoa1"
"Sqle";3,80899108621674e-37;-0,0766893499149282;0,123;0,246;8,54661419925311e-33;"Sqle"
"Aqp3";1,30803733294298e-36;0,0805331710203297;0,111;0,039;2,93497416765747e-32;"Aqp3"
"Arl6ip5";1,33317190497489e-36;0,291680494968568;0,37;0,233;2,99137112038267e-32;"Arl6ip5"
"Olfm4";1,74451891132603e-36;-0,653517913263176;0,275;0,415;3,91435153323334e-32;"Olfm4"
"Ppp1r1b";4,21477464902277e-36;-0,36057540351198;0,464;0,566;9,45711135747729e-32;"Ppp1r1b"
"Pycard";7,90331307777097e-36;-0,361924453685825;0,735;0,806;1,77334538839025e-31;"Pycard"
"Kcne3";9,40045903396595e-36;-0,428508742793607;0,232;0,354;2,10927499804128e-31;"Kcne3"
"Defa24";1,99388447439297e-35;-0,266213649977495;0,958;0,987;4,47387798364295e-31;"Defa24"
"Aldh1a7";2,40780569146107e-35;0,145752469379033;0,221;0,115;5,40263441050035e-31;"Aldh1a7"
"Slc35f5";5,48920661506883e-35;0,169680067165358;0,315;0,193;1,23166818028914e-30;"Slc35f5"
"Aldh3a2";5,71049239495423e-35;0,31946189799156;0,427;0,31;1,28132028357983e-30;"Aldh3a2"
"Cox8a";6,94260640693269e-35;0,208140146866768;0,94;0,93;1,55778202558756e-30;"Cox8a"
"Zg16";2,30321713218272e-34;0,102631452903578;0,635;0,743;5,16795860119159e-30;"Zg16"
"Adh4";4,6747405803908e-34;0,105749575991608;0,177;0,084;1,04891829142809e-29;"Adh4"
"Krt18";5,06854079244352e-34;-0,200420980558121;0,565;0,678;1,13727918300848e-29;"Krt18"
"Hsd17b13";5,60816215910708e-34;0,269956689783635;0,341;0,224;1,25835942526045e-29;"Hsd17b13"
"Clec2d";9,29498088525332e-34;0,404592915080388;0,558;0,419;2,08560781103314e-29;"Clec2d"
"Oxct1";9,71426753554055e-34;-0,257306484394375;0,271;0,382;2,17968734962459e-29;"Oxct1"
"Ybx1";1,019392522834e-33;-0,256029667083624;0,851;0,859;2,28731294273493e-29;"Ybx1"
"Stk17b";3,32475503072109e-33;0,525124185563833;0,649;0,516;7,46008533793199e-29;"Stk17b"
"Ncald";4,9900888302935e-33;0,157450947575345;0,27;0,151;1,11967613174125e-28;"Ncald"
"Cyp2c65";7,87749597880521e-33;0,309875476507837;0,399;0,288;1,76755254772431e-28;"Cyp2c65"
"Egr1";1,00494959423721e-32;-0,471524655807284;0,586;0,665;2,25490589954944e-28;"Egr1"
"Atp5b";1,28479616934526e-32;-0,244239082366385;0,841;0,857;2,88282564477688e-28;"Atp5b"
"Mt2";1,71346476760817e-32;0,558570875571037;0,45;0,343;3,84467224555921e-28;"Mt2"
"Eif5a";1,89031060814272e-32;-0,313377302774687;0,797;0,816;4,24147894255064e-28;"Eif5a"
"Slc25a20";1,95675161886852e-32;0,157429767965269;0,426;0,297;4,39055928241718e-28;"Slc25a20"
"Ech1";2,20704223118403e-32;0,315636001541281;0,696;0,685;4,95216135833072e-28;"Ech1"
"Sec14l2";2,70039805981089e-32;0,187223650100661;0,279;0,168;6,05915316660366e-28;"Sec14l2"
"Tm4sf4";2,99433335788231e-32;0,245966372841665;0,332;0,204;6,71868518841633e-28;"Tm4sf4"
"Ube2c";3,1317471257236e-32;-0,63083183862511;0,204;0,32;7,02701420069861e-28;"Ube2c"
"Cd74";3,7447357641115e-32;1,021631859134;0,392;0,272;8,40243810751338e-28;"Cd74"
"Nme2";4,08721977401907e-32;-0,259451771335474;0,823;0,852;9,17090372894399e-28;"Nme2"
"Tomm5";6,44280897163928e-32;-0,382993745475337;0,644;0,697;1,44563747705642e-27;"Tomm5"
"Rsrp1";6,44669658813015e-32;0,232495820433347;0,84;0,773;1,44650978044464e-27;"Rsrp1"
"H3f3b";7,87734508560935e-32;-0,216656642381261;0,968;0,966;1,76751869030903e-27;"H3f3b"
"Mgll";9,60556434189652e-32;0,0190855543562214;0,119;0,046;2,15529652703474e-27;"Mgll"
"Naca";1,26213391569576e-31;-0,258533198492643;0,911;0,909;2,83197608003814e-27;"Naca"
"Paqr7";1,52886588210946e-31;0,0912238816035433;0,175;0,085;3,43046926627721e-27;"Paqr7"
"Hsdl2";2,01292347557359e-31;0,160335383431911;0,374;0,246;4,51659769449202e-27;"Hsdl2"
"H2-Q7";3,00705515554636e-31;0,452094398063047;0,29;0,176;6,74723035801493e-27;"H2-Q7"
"Tmem135";3,29135196670371e-31;0,234834910823024;0,388;0,267;7,38513554288979e-27;"Tmem135"
"Crot";4,17913215785458e-31;0,264142537962264;0,494;0,38;9,3771367357941e-27;"Crot"
"Vdac2";6,15327739452964e-31;-0,269829982499542;0,729;0,77;1,38067238178456e-26;"Vdac2"
"Eef1a1";6,76232269809778e-31;-0,215917950845095;0,98;0,976;1,51732996699918e-26;"Eef1a1"
"Lyz1";1,48465674382374e-30;-0,414892728367249;0,428;0,55;3,33127280179171e-26;"Lyz1"
"Hadhb";1,7279021832959e-30;0,293716903487718;0,643;0,609;3,87706691887933e-26;"Hadhb"
"Ifitm3";2,23879771342963e-30;-0,549805537204922;0,23;0,35;5,02341430939341e-26;"Ifitm3"
"Ces2a";2,27526723504305e-30;0,27417802542867;0,364;0,251;5,10524462198959e-26;"Ces2a"
"Btf3";2,46812537612796e-30;-0,242034746711296;0,854;0,875;5,53797971895592e-26;"Btf3"
"Acot4";3,32941341623287e-30;0,100910848031062;0,239;0,135;7,47053782334332e-26;"Acot4"
"Lrrc19";3,94787811794871e-30;0,0952255349559961;0,206;0,111;8,85824892105332e-26;"Lrrc19"
"C1qbp";4,0031050068698e-30;-0,393827786213714;0,561;0,638;8,98216701441446e-26;"C1qbp"
"Atf3";4,30230636554604e-30;-0,483412103952564;0,487;0,579;9,6535150230122e-26;"Atf3"
"Fkbp4";5,39587487845898e-30;-0,355583627354668;0,603;0,662;1,21072640522863e-25;"Fkbp4"
"Birc5";6,61896174990045e-30;-0,536959704330086;0,19;0,298;1,48516263744266e-25;"Birc5"
"Emg1";7,14201281135166e-30;-0,329717118828526;0,554;0,642;1,60252483461109e-25;"Emg1"
"Spink4";7,57808457445898e-30;0,231701624543453;0,388;0,515;1,70037061681711e-25;"Spink4"
"Psmb8";1,57715263109804e-29;0,331496780738215;0,801;0,703;3,53881507365779e-25;"Psmb8"
"Ang";1,80119618915182e-29;0,137761386408617;0,366;0,241;4,04152400921885e-25;"Ang"
"Slc25a36";1,93737190393244e-29;0,207956842889777;0,446;0,318;4,34707507804362e-25;"Slc25a36"
"Cyp2b10";2,01159963816929e-29;0,133910994492622;0,122;0,053;4,51362726812425e-25;"Cyp2b10"
"Gm15200";2,28585535261952e-29;0,0987342185046656;0,163;0,078;5,12900224020767e-25;"Gm15200"
"Elovl5";2,32032427839193e-29;0,297381931575717;0,189;0,1;5,2063436158558e-25;"Elovl5"
"Cyba";2,35381117288387e-29;0,31263172770998;0,78;0,693;5,28148150971683e-25;"Cyba"
"Cst6";3,99368488703223e-29;0,415910307510586;0,478;0,379;8,96103014952291e-25;"Cst6"
"Rack1";6,77699103019707e-29;-0,252831501139677;0,92;0,913;1,52062124735562e-24;"Rack1"
"Ran";7,59611363613955e-29;-0,404117461167277;0,728;0,762;1,70441597767699e-24;"Ran"
"H2-D1";1,37892120923246e-28;0,301245758331507;0,935;0,905;3,09402340927578e-24;"H2-D1"
"H2-Q6";1,41842738637512e-28;0,438558292647632;0,188;0,099;3,1826673695485e-24;"H2-Q6"
"Rab9";1,74455760035954e-28;0,25142640890918;0,538;0,45;3,91443834368674e-24;"Rab9"
"H2-T23";2,23537472241478e-28;0,301133440038002;0,66;0,539;5,01573380215428e-24;"H2-T23"
"Ccdc34";2,65055328474434e-28;-0,378111242577017;0,299;0,417;5,94731146030935e-24;"Ccdc34"
"Hint1";3,0806608991777e-28;-0,208004511231715;0,857;0,872;6,91238692557492e-24;"Hint1"
"H3f3a";3,97762198868437e-28;-0,222010548763504;0,882;0,88;8,92498821821e-24;"H3f3a"
