"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Itln1";5,04640824704132e-11;4,34466269938139;0,828;0,309;8,95535607519953e-07;"6";"Itln1"
"Mmp7";7,17961917422399e-11;2,37495163321504;0,676;0,028;1,27409521865779e-06;"6";"Mmp7"
"Tmed3";9,36282039823399e-11;1,19318280092442;0,845;0,47;1,6615261078706e-06;"6";"Tmed3"
"Reep5";1,4056757519843e-10;0,969979456120813;0,777;0,211;2,49451218947134e-06;"6";"Reep5"
"Muc13";1,85583656014453e-10;0,788390724117207;0,882;0,651;3,29336755963248e-06;"6";"Muc13"
"Qsox1";2,56694826384054e-10;1,22953414026482;0,831;0,214;4,55530638901142e-06;"6";"Qsox1"
"Ccl9";4,57935581005576e-10;1,53818069431622;0,628;0,009;8,12652482052496e-06;"6";"Ccl9"
"Tpsg1";4,57935581005576e-10;1,35502593584827;0,666;0,008;8,12652482052496e-06;"6";"Tpsg1"
"Slc12a8";2,6295831562079e-09;0,761264191896049;0,555;0,08;4,66645826900654e-05;"6";"Slc12a8"
"Spdef";2,70435774249524e-09;0,769396679113982;0,499;0,006;4,79915324983206e-05;"6";"Spdef"
"Defa24";3,10840106136701e-09;5,32531399854482;0,847;0,584;5,5161685235019e-05;"6";"Defa24"
"Klk1";3,37630427934519e-09;1,29950091309424;0,677;0,166;5,99158957412598e-05;"6";"Klk1"
"Creb3l4";7,77985788913872e-09;0,586117011230862;0,45;0,025;0,000138061358100656;"6";"Creb3l4"
"Pdia5";8,4645424937266e-09;0,606632095578612;0,453;0,062;0,000150211771093672;"6";"Pdia5"
"Fkbp11";1,26071902066572e-08;1,0841019608627;0,681;0,255;0,000223727197407338;"6";"Fkbp11"
"Tram1";2,20883067925418e-08;0,571016013822204;0,704;0,462;0,000391979092340447;"6";"Tram1"
"Cbfa2t3";3,43765866262904e-08;0,542079980635895;0,406;0,026;0,000610046906270149;"6";"Cbfa2t3"
