"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Gdi1";2,18258241673571e-05;0,552691732865944;0,396;0,132;0,387321075673919;"7";"Gdi1"
"Ets1";2,8035489660485e-05;0,548987042016401;0,269;0,009;0,497517799514966;"7";"Ets1"
"St18";2,93345772300542e-05;0,65778832713692;0,35;0,006;0,520571407524543;"7";"St18"
"Anxa5";3,18868018763448e-05;0,888067611917409;0,491;0,098;0,565863186097616;"7";"Anxa5"
"Neurog3";3,23872985920376e-05;0,957647114222253;0,204;0,003;0,574745000814299;"7";"Neurog3"
"Pax6";3,23872985920376e-05;0,86888408952058;0,42;0,002;0,574745000814299;"7";"Pax6"
"Arx";3,23872985920376e-05;0,84780886083809;0,349;0,001;0,574745000814299;"7";"Arx"
"Cxxc4";3,23872985920376e-05;0,780815729568554;0,363;0,007;0,574745000814299;"7";"Cxxc4"
"Anxa6";3,23872985920376e-05;0,62727535972221;0,345;0,004;0,574745000814299;"7";"Anxa6"
"Cbfa2t31";3,78927493064169e-05;0,46787605757503;0,253;0,048;0,672444729191674;"7";"Cbfa2t3"
"Nbea";3,84602430377663e-05;0,708507684864251;0,418;0,097;0,6825154729482;"7";"Nbea"
"Cdkn1a1";3,90928326040861e-05;1,73866243800346;0,778;0,547;0,693741407392112;"7";"Cdkn1a"
"Asph1";3,99223088156366e-05;0,728355030653838;0,501;0,261;0,708461292242288;"7";"Asph"
"Kctd12";4,41598347840976e-05;0,602092317143523;0,384;0,027;0,783660428078596;"7";"Kctd12"
"Cxxc5";4,49401349410101e-05;0,606751814597141;0,342;0,036;0,797507634663166;"7";"Cxxc5"
"Sis1";4,5941551666352e-05;1,04457564701696;0,552;0,185;0,815278775871083;"7";"Sis"
"C2cd4b";4,77658965190263e-05;0,934362039104844;0,381;0,037;0,847653599626641;"7";"C2cd4b"
"Isg20";4,89073774948816e-05;0,647664341923119;0,412;0,072;0,867910321024169;"7";"Isg20"
"Ncald";5,04780286088737e-05;0,646914530272531;0,378;0,088;0,895783095693072;"7";"Ncald"
"Ids";5,32189848045251e-05;0,750498445374993;0,398;0,026;0,944424104341102;"7";"Ids"
"Krt201";5,57692558239642e-05;1,41116802955766;0,494;0,104;0,989681213852069;"7";"Krt20"
"Ghr";5,84607087333806e-05;0,554804221382457;0,333;0,075;1;"7";"Ghr"
"Camk2b";6,11302707577588e-05;0,696738262982251;0,381;0,024;1;"7";"Camk2b"
"Cdhr51";6,30088485267615e-05;0,750844567936676;0,533;0,241;1;"7";"Cdhr5"
"Eid1";6,39103901296636e-05;0,915486200895511;0,616;0,236;1;"7";"Eid1"
"Etv1";6,5047562222275e-05;1,17372160833331;0,371;0,002;1;"7";"Etv1"
"Peg3";6,5047562222275e-05;1,13298972218238;0,403;0,002;1;"7";"Peg3"
"Syt13";6,5047562222275e-05;0,784488817774873;0,402;0,001;1;"7";"Syt13"
"Runx1t1";6,5047562222275e-05;0,762163836494723;0,357;0,003;1;"7";"Runx1t1"
"A2ml1";6,5047562222275e-05;0,669262394540883;0,266;0,006;1;"7";"A2ml1"
"Snap25";6,5047562222275e-05;0,592263656766776;0,254;0,001;1;"7";"Snap25"
"Nenf";6,70387872185574e-05;0,809342052774876;0,588;0,288;1;"7";"Nenf"
"Arl3";9,76739350669603e-05;0,771647488531772;0,534;0,16;1;"7";"Arl3"
"Gm15200";0,000101375060036533;0,923079782618606;0,456;0,102;1;"7";"Gm15200"
"Pycr2";0,000107632758665111;0,657490258409966;0,526;0,321;1;"7";"Pycr2"
"Khdrbs3";0,000119105030773629;0,664271327486077;0,368;0,088;1;"7";"Khdrbs3"
"Golim4";0,000122060190960235;0,807028419160634;0,538;0,262;1;"7";"Golim4"
"Baiap3";0,000129208146895081;0,545006200811592;0,249;0,001;1;"7";"Baiap3"
"Slc25a4";0,000140525480729666;0,970052161237666;0,756;0,504;1;"7";"Slc25a4"
"Cdhr2";0,000145733798099541;0,625898769754384;0,43;0,182;1;"7";"Cdhr2"
"Itpr1";0,000184089100076324;0,759792210999573;0,416;0,045;1;"7";"Itpr1"
"Npdc11";0,000211427151489798;0,713713436114857;0,532;0,238;1;"7";"Npdc1"
"Dpp4";0,000221866101866068;0,698131891169929;0,527;0,32;1;"7";"Dpp4"
"Phldb2";0,000234328559201142;0,51522713641265;0,28;0,034;1;"7";"Phldb2"
"Ttll7";0,000234328559201142;0,513114581918494;0,287;0,019;1;"7";"Ttll7"
"Slco2a1";0,000234328559201142;0,43980821164597;0,214;0,013;1;"7";"Slco2a1"
"Slc6a19";0,000244734061634875;0,595099478732187;0,309;0,056;1;"7";"Slc6a19"
"Fryl";0,000251108251133266;0,70781731165718;0,509;0,223;1;"7";"Fryl"
"Cadps";0,000253976368838715;0,759891056918257;0,375;0,001;1;"7";"Cadps"
"Slc8a1";0,000253976368838715;0,555669670336481;0,256;0,001;1;"7";"Slc8a1"
"Mctp2";0,000253976368838715;0,539177015305053;0,287;0,04;1;"7";"Mctp2"
"Syp";0,000253976368838715;0,491569731081873;0,255;0,003;1;"7";"Syp"
"Ctsf";0,000255571824016019;0,554229444339161;0,305;0,007;1;"7";"Ctsf"
"Syt7";0,000266858413007555;0,470517638167237;0,224;0,013;1;"7";"Syt7"
"Gnptg";0,000310071111133338;0,700770102510963;0,504;0,203;1;"7";"Gnptg"
"Mgll";0,000362536672441867;0,535509029002424;0,254;0,013;1;"7";"Mgll"
"Bambi";0,000377378358577708;0,64761998461888;0,321;0,03;1;"7";"Bambi"
"Dnajc12";0,000377378358577708;0,586468919697493;0,322;0,054;1;"7";"Dnajc12"
"Tusc3";0,000435003755346954;0,718202844440071;0,497;0,169;1;"7";"Tusc3"
"Reep51";0,00044004946630538;0,637022562525418;0,578;0,243;1;"7";"Reep5"
"Rogdi";0,000465938759512755;0,506815247485366;0,28;0,037;1;"7";"Rogdi"
"Hap1";0,000471160145595804;0,530748877742407;0,276;0,013;1;"7";"Hap1"
"Camk2n2";0,000471160145595804;0,482279502149158;0,259;0,02;1;"7";"Camk2n2"
"Abcc8";0,000494324738147379;0,640409906969534;0,291;0,002;1;"7";"Abcc8"
"Ffar1";0,000494324738147379;0,571716748265316;0,236;0,001;1;"7";"Ffar1"
"Pcp4";0,000494324738147379;0,525427835107035;0,212;0,002;1;"7";"Pcp4"
"Cacna1h";0,000494324738147379;0,47381093977238;0,228;0,001;1;"7";"Cacna1h"
"Dbn1";0,000494324738147379;0,469417544337877;0,235;0,005;1;"7";"Dbn1"
"Plcb4";0,000494324738147379;0,466399524092594;0,241;0,019;1;"7";"Plcb4"
"Rims2";0,000494324738147379;0,447536422544509;0,241;0,01;1;"7";"Rims2"
"Atp6v1b2";0,000523737753401753;0,855364169522824;0,497;0,204;1;"7";"Atp6v1b2"
"Maged2";0,000535465262829824;0,768984956799684;0,253;0,046;1;"7";"Maged2"
"Mical2";0,00062691076830803;0,519944955636612;0,324;0,103;1;"7";"Mical2"
"Wnt31";0,000708342670984746;0,443057211120031;0,261;0,038;1;"7";"Wnt3"
"Pkdcc";0,000708386930780201;0,79272471414428;0,521;0,273;1;"7";"Pkdcc"
"Serinc1";0,000837047188620875;0,753235390489987;0,511;0,168;1;"7";"Serinc1"
"Ece1";0,000861248248440501;0,555981699943161;0,336;0,11;1;"7";"Ece1"
"Gm609";0,000873443621471986;0,799746326051176;0,457;0,059;1;"7";"Gm609"
"Fxyd6";0,000936575261882983;0,815194309223539;0,273;0,004;1;"7";"Fxyd6"
"Gpx3";0,000953362814751277;0,833406494632628;0,239;0,002;1;"7";"Gpx3"
"Gnai1";0,000953362814751277;0,653036593114922;0,269;0,002;1;"7";"Gnai1"
"Lrp11";0,000953362814751277;0,495869491151434;0,273;0,002;1;"7";"Lrp11"
"Myt1";0,000953362814751277;0,487046501370227;0,251;0,001;1;"7";"Myt1"
"Pnmal1";0,000953362814751277;0,455247533499202;0,221;0,001;1;"7";"Pnmal1"
"1500009L16Rik";0,0010646094974449;0,61425118026821;0,301;0,052;1;"7";"1500009L16Rik"
"Dst";0,00107053242889269;0,757523604142796;0,395;0,082;1;"7";"Dst"
"Trim35";0,00114770974577285;0,879352262123871;0,457;0,058;1;"7";"Trim35"
"Myo15b";0,00124871269264768;0,594040809972457;0,438;0,176;1;"7";"Myo15b"
"Map1lc3a";0,00140685530543388;0,565044664244279;0,442;0,203;1;"7";"Map1lc3a"
"C1qtnf4";0,00144322384030568;0,592432381823598;0,33;0,119;1;"7";"C1qtnf4"
"Hspa4l";0,00145177890744065;0,625853247848036;0,423;0,187;1;"7";"Hspa4l"
"Glul";0,0014885466882505;0,701908521921013;0,492;0,275;1;"7";"Glul"
"Rab3d1";0,00177010580840417;0,541878148800548;0,413;0,16;1;"7";"Rab3d"
"Sez6l2";0,00182346989838934;0,535033131201463;0,276;0,002;1;"7";"Sez6l2"
"Otulinl";0,00182346989838934;0,46507210278651;0,235;0,001;1;"7";"Otulinl"
"Adgrg4";0,00182346989838934;0,464669502986133;0,216;0,001;1;"7";"Adgrg4"
"Dner";0,00182346989838934;0,400657527685226;0,216;0,001;1;"7";"Dner"
"Nisch";0,00183722630242033;0,855498238507933;0,649;0,346;1;"7";"Nisch"
"Sdccag8";0,00229025281432079;0,617144835072903;0,368;0,1;1;"7";"Sdccag8"
"Ica1";0,00229025281432079;0,584157494534264;0,335;0,051;1;"7";"Ica1"
"Cck";0,00233633807494487;4,6374033669493;0,433;0,039;1;"7";"Cck"
"Suox";0,00239459197266362;0,503095737456059;0,285;0,036;1;"7";"Suox"
"Chd3";0,00254318792801833;0,433786589935487;0,252;0,051;1;"7";"Chd3"
"Ppp1r15a";0,00330413975995418;0,837284327220903;0,416;0,155;1;"7";"Ppp1r15a"
"Nefl";0,00346244582563733;0,727333967203198;0,305;0,001;1;"7";"Nefl"
"Sphkap";0,00346244582563733;0,707379221149094;0,269;0,001;1;"7";"Sphkap"
"Gadd45a";0,00357387860759517;1,10965938601631;0,498;0,22;1;"7";"Gadd45a"
"Ubl3";0,00359715934214672;0,76469164406507;0,577;0,349;1;"7";"Ubl3"
"1700016C15Rik1";0,00373157149789633;0,629639022411978;0,281;0,052;1;"7";"1700016C15Rik"
"Mageh1";0,00373157149789633;0,564793488504932;0,283;0,014;1;"7";"Mageh1"
"Rap1gap2";0,00525134451854282;0,51528270110652;0,319;0,088;1;"7";"Rap1gap2"
"Ptprn";0,00653556966225465;0,622850393652194;0,244;0,002;1;"7";"Ptprn"
"Kctd121";6,63271777631739e-20;2,56998820440175;0,973;0,027;1,17704209658528e-15;"8";"Kctd12"
"Ltc4s";4,67146010681102e-19;2,24763851422256;0,943;0,032;8,28997310554683e-15;"8";"Ltc4s"
"Rgs13";1,69027724904374e-18;3,13419762852304;0,949;0,004;2,99956600615302e-14;"8";"Rgs13"
"Espn";2,85718788980648e-18;1,97685382605549;0,982;0,277;5,07036562925058e-14;"8";"Espn"
"Avil";5,97315120575091e-18;2,07115935733026;0,935;0,005;1,05999541297256e-13;"8";"Avil"
"Reep52";1,26464874845212e-17;2,37545379018587;0,982;0,245;2,24424566900313e-13;"8";"Reep5"
"Tuba1a1";1,90021953933791e-17;2,28987717378243;0,914;0,043;3,37212959450906e-13;"8";"Tuba1a"
"Atp2a31";1,94167781776829e-17;1,75177728029846;0,863;0,05;3,44570145541161e-13;"8";"Atp2a3"
"Sh2d6";2,06015632726895e-17;1,83750298111801;0,857;0,003;3,65595341837147e-13;"8";"Sh2d6"
"Cd24a1";5,21673439046717e-17;2,48398948072387;0,994;0,671;9,25761684932304e-13;"8";"Cd24a"
"Dclk1";6,94531790484584e-17;2,79832851794924;0,943;0,004;1,23251611539394e-12;"8";"Dclk1"
"Hpgds";2,28779886810124e-16;1,33460949333148;0,741;0,026;4,05992787133246e-12;"8";"Hpgds"
"Fyb";4,23759486932336e-16;2,25693532737836;0,914;0,049;7,52003585510123e-12;"8";"Fyb"
"Il13ra1";7,04354284505937e-16;1,62821515345805;0,857;0,114;1,24994711328424e-11;"8";"Il13ra1"
"Alox5ap";7,36836833460663e-16;2,68468945272181;0,872;0,004;1,30759064465929e-11;"8";"Alox5ap"
"Lrmp";2,32074058463766e-15;2,53646757141714;0,908;0,004;4,118386241498e-11;"8";"Lrmp"
"Pygl";7,1560667128512e-15;1,68400558317754;0,81;0,004;1,26991559886257e-10;"8";"Pygl"
"Itpr2";4,54859488599816e-14;1,59799530244577;0,792;0,042;8,07193648469234e-10;"8";"Itpr2"
"Hck";6,38282589759077e-14;2,1506777826852;0,786;0,002;1,13269628378646e-09;"8";"Hck"
"Selenom2";1,00098739452529e-13;2,11987188776694;1;0,213;1,77635223032457e-09;"8";"Selenom"
"Ly6g6f";1,84822816550382e-13;1,48634140324118;0,765;0,002;3,27986570250308e-09;"8";"Ly6g6f"
"Lima1";2,03327839495131e-13;1,57513688250169;0,976;0,655;3,6082558396806e-09;"8";"Lima1"
"Hepacam22";3,59959971494138e-13;1,41026859459995;0,854;0,08;6,38784965413498e-09;"8";"Hepacam2"
"Hmx2";5,24536944091535e-13;1,3243908527546;0,693;0,002;9,30843260984837e-09;"8";"Hmx2"
"Bpgm";5,41973338816207e-13;1,58684562024357;0,836;0,277;9,6178588706324e-09;"8";"Bpgm"
"Mcub";1,45932741515074e-12;1,13088224466203;0,601;0,002;2,5897224309265e-08;"8";"Mcub"
"Cd47";5,58606841487989e-12;1,29349534427292;0,914;0,638;9,91303700904585e-08;"8";"Cd47"
"Hmx3";1,06708172026467e-11;1,26792822800295;0,717;0,002;1,89364322078168e-07;"8";"Hmx3"
"Spib";1,06708172026467e-11;1,22122738807199;0,643;0,002;1,89364322078168e-07;"8";"Spib"
"Gnai2";1,15926345771917e-11;1,36038378586055;0,958;0,703;2,05722893206844e-07;"8";"Gnai2"
"Gng13";1,21186031145194e-11;1,77312028920083;0,753;0,004;2,15056730870261e-07;"8";"Gng13"
"Skap2";1,78126626070938e-11;1,63266080122331;0,845;0,267;3,16103510625487e-07;"8";"Skap2"
"Bcl2l14";1,94352206612459e-11;1,40216961593609;0,866;0,298;3,4489742585447e-07;"8";"Bcl2l14"
"Tspan6";2,804977724297e-11;1,77907871480879;0,699;0,033;4,97771346953745e-07;"8";"Tspan6"
"Ethe1";7,03617248731539e-11;1,33801110472273;0,839;0,384;1,24863916959899e-06;"8";"Ethe1"
"Agt";7,24207273502390e-11;1,2293054015298;0,577;0,006;1,28517822755734e-06;"8";"Agt"
"Trpm5";7,24347747875379e-11;1,53155559111017;0,75;0,003;1,28542751337965e-06;"8";"Trpm5"
"Mocs2";7,89622607572031e-11;1,50004833059367;0,923;0,612;1,40126427939733e-06;"8";"Mocs2"
"Tmem176a";1,33686489677658e-10;1,75235375150382;0,899;0,672;2,37240044581973e-06;"8";"Tmem176a"
"Rgs2";1,83684931195157e-10;1,25426924093125;0,548;0,017;3,25967278898926e-06;"8";"Rgs2"
"Plcg2";1,93939719301317e-10;1,15298883837271;0,676;0,034;3,44165425872118e-06;"8";"Plcg2"
"Ptpn6";1,94740442151488e-10;1,68319471669817;0,777;0,129;3,4558638864203e-06;"8";"Ptpn6"
"Msi2";2,48853052829053e-10;0,888867831948949;0,658;0,259;4,41614627550438e-06;"8";"Msi2"
"Ly6g6d";2,66580056457521e-10;1,28546651047809;0,679;0,032;4,73072968189516e-06;"8";"Ly6g6d"
"Asah1";2,69968585620656e-10;1,10128877558308;0,75;0,362;4,79086252042417e-06;"8";"Asah1"
"Ptgs1";5,79713212838923e-10;1,13439247719639;0,521;0,001;1,02875906750395e-05;"8";"Ptgs1"
"Tm4sf42";5,82914045339691e-10;1,68164949924812;0,81;0,189;1,03443926485982e-05;"8";"Tm4sf4"
"Ccdc28b";7,76176417173383e-10;1,19987473376053;0,664;0,127;1,37740266991589e-05;"8";"Ccdc28b"
"1810046K07Rik";1,12195250887005e-09;0,845384429639244;0,476;0,004;1,99101692224079e-05;"8";"1810046K07Rik"
"Sh2d7";1,12215689168096e-09;1,07611162359652;0,562;0,001;1,99137961997703e-05;"8";"Sh2d7"
"Pik3r5";1,25976498823253e-09;1,19161970713174;0,616;0,003;2,23557894811745e-05;"8";"Pik3r5"
"Snrnp25";1,28295972083826e-09;1,50582528068372;0,771;0,318;2,27674032059958e-05;"8";"Snrnp25"
"Myo1b";3,27155575862816e-09;1,16263442356368;0,747;0,26;5,80570284926153e-05;"8";"Myo1b"
"Stk38";4,2312698691137e-09;0,899516341659004;0,768;0,439;7,50881150972918e-05;"8";"Stk38"
"Slc4a7";4,60896528061065e-09;0,960673025808595;0,69;0,371;8,17906978697166e-05;"8";"Slc4a7"
"Bub31";5,20556337107973e-09;1,13017925127145;0,875;0,553;9,23779275831809e-05;"8";"Bub3"
"Pou2f3";6,41203769400972e-09;0,79080409828578;0,473;0,005;0,000113788020917897;"8";"Pou2f3"
"Ehf";1,01476626646015e-08;0,983049858255127;0,884;0,657;0,000180080421646018;"8";"Ehf"
"Pgm2l1";1,49626681636315e-08;0,838772836212492;0,47;0,071;0,000265527509231804;"8";"Pgm2l1"
"Inpp5b";2,08422434688406e-08;0,884306423331164;0,565;0,088;0,000369866452598045;"8";"Inpp5b"
"Vav1";2,08638282819571e-08;1,0922061344445;0,557;0,004;0,000370249496691611;"8";"Vav1"
"Ypel2";2,95523890293424e-08;0,740873244909937;0,458;0,065;0,000524436695714711;"8";"Ypel2"
"Bmx";3,43708172264423e-08;0,981343285567244;0,467;0,001;0,000609944522500445;"8";"Bmx"
"Serpini1";3,43708172264423e-08;0,698570890618505;0,402;0,006;0,000609944522500445;"8";"Serpini1"
"S100a1";3,57113844775573e-08;0,960667051002747;0,673;0,313;0,000633734228938731;"8";"S100a1"
"Clmn";5,03071510501581e-08;1,21293918115666;0,699;0,153;0,000892750702536105;"8";"Clmn"
"Plaat3";6,04314686159603e-08;0,745466103903647;0,705;0,488;0,00107241684205883;"8";"Plaat3"
"Tanc2";6,70384424782662e-08;0,74317103781288;0,414;0,018;0,00118966420021931;"8";"Tanc2"
"Nebl";7,77888271636172e-08;0,904888952944799;0,482;0,001;0,00138044052684555;"8";"Nebl"
"Pik3cg";7,77888271636172e-08;0,788847270934504;0,44;0,001;0,00138044052684555;"8";"Pik3cg"
"Sox9";1,0467698479566e-07;0,769989444782468;0,667;0,364;0,00185759777218379;"8";"Sox9"
"Rabgap1";1,35799920625355e-07;0,770662630781884;0,542;0,184;0,00240990539141754;"8";"Rabgap1"
"Adh11";1,43314856052543e-07;1,4377218709391;0,774;0,248;0,00254326543550844;"8";"Adh1"
"Limd2";1,73433623114879e-07;0,891786850721272;0,479;0,037;0,00307775307579664;"8";"Limd2"
"Hsbp1l1";1,73433623114879e-07;0,811340555439617;0,473;0,02;0,00307775307579664;"8";"Hsbp1l1"
"Ptpn18";1,81261366469911e-07;1,33064661158453;0,705;0,383;0,00321666420937504;"8";"Ptpn18"
"Dsp";2,73477489636794e-07;0,874730898229396;0,783;0,554;0,00485313153109454;"8";"Dsp"
"Card19";3,20231559465611e-07;0,915385001537482;0,64;0,265;0,00568282925427673;"8";"Card19"
"Pla2g4a";3,39358050916367e-07;0,940531833628522;0,652;0,222;0,00602224797156184;"8";"Pla2g4a"
"Tmem45b";3,42182715013686e-07;0,931754870738316;0,83;0,596;0,00607237446063286;"8";"Tmem45b"
"Gde11";3,71668682119231e-07;0,964083497279341;0,607;0,091;0,00659563243288786;"8";"Gde1"
"Chdh";3,74202488107343e-07;0,665691060315581;0,426;0,133;0,00664059735395291;"8";"Chdh"
"Nrep";3,81130019167374e-07;0,973897250743144;0,402;0,006;0,00676353332014423;"8";"Nrep"
"Tmem121";3,81130019167374e-07;0,81616368268099;0,423;0,001;0,00676353332014423;"8";"Tmem121"
"Ahnak2";3,81130019167374e-07;0,767214254815025;0,375;0,001;0,00676353332014423;"8";"Ahnak2"
"Kit1";4,61369001706117e-07;0,859743787604607;0,509;0,061;0,00818745430427674;"8";"Kit"
"Ppp3ca";4,94946941279956e-07;0,972961719678684;0,753;0,351;0,0087833284199541;"8";"Ppp3ca"
"Jarid2";5,13170923729693e-07;0,785797286191615;0,577;0,209;0,00910673121250712;"8";"Jarid2"
"Abhd2";5,28043288784855e-07;0,900600365036494;0,542;0,107;0,00937065620277604;"8";"Abhd2"
"Inpp5j";5,34223475898814e-07;0,890382651084789;0,53;0,053;0,00948032980330035;"8";"Inpp5j"
"Krt23";6,79703501487011e-07;1,23034882166743;0,631;0,166;0,0120620183373885;"8";"Krt23"
"Strip2";8,25849688076695e-07;0,89398539154975;0,396;0,005;0,014655528564609;"8";"Strip2"
"Inpp5d";8,25849688076695e-07;0,705311228425397;0,351;0,001;0,014655528564609;"8";"Inpp5d"
"Fam221a";1,2944027513386e-06;0,758231850537807;0,423;0,046;0,0229704712252547;"8";"Fam221a"
"Zfhx3";1,60434950775732e-06;0,913782351975624;0,649;0,276;0,0284707863646614;"8";"Zfhx3"
"Pde2a";1,76515934465433e-06;0,871300368786203;0,467;0,007;0,0313245177302357;"8";"Pde2a"
"Camk2b1";1,98101446409103e-06;0,658559095817467;0,378;0,033;0,0351550826797594;"8";"Camk2b"
"Clec2d";2,03559469608618e-06;0,64181432199462;0,497;0,241;0,0361236634767453;"8";"Clec2d"
"Marcksl11";2,17230859505995e-06;0,672783678947541;0,577;0,235;0,0385497883279339;"8";"Marcksl1"
"Cdhr52";2,48667010839277e-06;1,3377577002659;0,759;0,244;0,0441284477435381;"8";"Cdhr5"
"Fryl1";3,68451088854154e-06;0,816728275113475;0,583;0,229;0,0653853302280582;"8";"Fryl"
"Dmxl2";3,72299836291281e-06;0,680825162912108;0,33;0,002;0,0660683289482508;"8";"Dmxl2"
"Tsc22d1";4,05025644869237e-06;0,696295173490499;0,693;0,466;0,0718758509384948;"8";"Tsc22d1"
"Eppk1";4,39596006570227e-06;1,01799286225873;0,625;0,293;0,0780107073259525;"8";"Eppk1"
"Gm142071";4,94393533722559e-06;0,662427828454445;0,509;0,155;0,0877350764944054;"8";"Gm14207"
"Rab27b1";5,58040893980008e-06;0,936352174476561;0,574;0,105;0,0990299370456923;"8";"Rab27b"
"Ypel31";5,7432361577001e-06;0,743239585987937;0,598;0,198;0,101919468854546;"8";"Ypel3"
"Chd6";6,1789033144718e-06;0,697132345682862;0,539;0,231;0,109650818218617;"8";"Chd6"
"2210011C24Rik";7,75068976734814e-06;0,589946167101762;0,33;0,02;0,13754374061136;"8";"2210011C24Rik"
"Matk";7,75182569435383e-06;1,08095198625524;0,393;0,006;0,137563898772003;"8";"Matk"
"Zmiz1";9,94999502969498e-06;0,501729458703497;0,423;0,183;0,176572611796967;"8";"Zmiz1"
"Eid11";1,3184646201944e-05;0,655145365762809;0,527;0,246;0,233974731499698;"8";"Eid1"
"Ckap4";1,32684675317596e-05;0,577535785133369;0,363;0,042;0,235462224818605;"8";"Ckap4"
"Stox2";1,59404479567909e-05;0,569223415643166;0,28;0,011;0,282879189441211;"8";"Stox2"
"Nkd1";1,59404479567909e-05;0,519375212045372;0,289;0,009;0,282879189441211;"8";"Nkd1"
"Ppp1r14c1";1,59404479567909e-05;0,506043507274265;0,25;0,015;0,282879189441211;"8";"Ppp1r14c"
"Rtn4";2,15110008277219e-05;0,654692916602637;0,661;0,437;0,381734220688753;"8";"Rtn4"
"Ndufa4l2";2,20846752318756e-05;1,34849520035956;0,438;0,122;0,391914646664865;"8";"Ndufa4l2"
"St6galnac2";2,21774347575916e-05;0,636882146695241;0,565;0,301;0,39356075720822;"8";"St6galnac2"
"Chn2";2,52037047745284e-05;0,728835985647662;0,497;0,117;0,44726494492878;"8";"Chn2"
"Cpeb4";2,54025725972915e-05;0,543420951309945;0,321;0,043;0,450794053311535;"8";"Cpeb4"
"S100a132";2,90751850217726e-05;0,490620273710467;0,42;0,151;0,515968233396376;"8";"S100a13"
"Mast4";2,97661555205521e-05;0,563005615749215;0,393;0,147;0,528230195867718;"8";"Mast4"
"Cited4";3,08194267147206e-05;0,647511608119727;0,42;0,104;0,546921546479431;"8";"Cited4"
"Plcb2";3,23872985920376e-05;0,651477955215222;0,342;0,001;0,574745000814299;"8";"Plcb2"
"Cldn14";3,23872985920376e-05;0,577397557610661;0,247;0;0,574745000814299;"8";"Cldn14"
"C2cd4b1";3,23872985920376e-05;0,537056703574965;0,295;0,046;0,574745000814299;"8";"C2cd4b"
"Ddah2";3,35838863366976e-05;0,616644148414429;0,342;0,027;0,595979646931035;"8";"Ddah2"
"Prox11";3,67348682356205e-05;0,570488582137248;0,348;0,017;0,651896971709322;"8";"Prox1"
"Ifi27";3,77728901072541e-05;0,500726025066084;0,366;0,126;0,670317707843331;"8";"Ifi27"
"Zfp428";5,98915390386123e-05;0,620810442347427;0,417;0,112;1;"8";"Zfp428"
"Nrgn";6,11302707577588e-05;1,20911624789972;0,321;0,013;1;"8";"Nrgn"
"Rac2";6,5047562222275e-05;0,806476944567989;0,289;0,001;1;"8";"Rac2"
"Dgki";6,5047562222275e-05;0,491414192029007;0,28;0,001;1;"8";"Dgki"
"Ap1s2";6,5047562222275e-05;0,470132831248708;0,256;0,009;1;"8";"Ap1s2"
"Ackr4";6,5047562222275e-05;0,383558905848125;0,208;0;1;"8";"Ackr4"
"Sort1";8,95600900563275e-05;0,555135401091847;0,452;0,228;1;"8";"Sort1"
"Cdkn1a2";0,000103320174065237;0,622279729756857;0,839;0,552;1;"8";"Cdkn1a"
"Pea15a";0,000115161856457606;0,673467542402703;0,357;0,012;1;"8";"Pea15a"
"Abhd16a";0,000116610056563859;0,632756397997772;0,443;0,198;1;"8";"Abhd16a"
"Dpysl2";0,000116894195219116;0,732709674964379;0,455;0,151;1;"8";"Dpysl2"
"Eef2k";0,000118819324386673;0,517755189357432;0,321;0,118;1;"8";"Eef2k"
"Tmem229a";0,000129208146895081;0,564131945948971;0,286;0,001;1;"8";"Tmem229a"
"Ildr1";0,000129208146895081;0,547880149039275;0,283;0,018;1;"8";"Ildr1"
"Gimap1";0,000131173999707347;0,678533271610744;0,515;0,306;1;"8";"Gimap1"
"Rbm38";0,000141506377205393;0,840625956136452;0,482;0,151;1;"8";"Rbm38"
"2210016L21Rik";0,000186656508236382;0,653782714090058;0,622;0,414;1;"8";"2210016L21Rik"
"Rabgap1l";0,000221866101866068;0,74469985844185;0,536;0,223;1;"8";"Rabgap1l"
"Myo15b1";0,000221894987920446;0,861937625916903;0,557;0,18;1;"8";"Myo15b"
"Smpx";0,000253976368838715;0,500900120969663;0,235;0,002;1;"8";"Smpx"
"Tmem141";0,000262404166840541;0,732272930704124;0,568;0,284;1;"8";"Tmem141"
"Csk";0,000262404166840541;0,544753447779788;0,432;0,212;1;"8";"Csk"
"Runx1";0,000263015663399551;0,771285412314775;0,461;0,082;1;"8";"Runx1"
"Cacna1a1";0,000270278380471691;0,529841355116655;0,387;0,096;1;"8";"Cacna1a"
"Cd300lf";0,000494324738147379;0,5784355485835;0,226;0;1;"8";"Cd300lf"
"Lect2";0,000494324738147379;0,466145487252221;0,22;0,011;1;"8";"Lect2"
"Arhgef2";0,000494324738147379;0,414094479538597;0,244;0,031;1;"8";"Arhgef2"
"Rap1gapos1";0,000597084584151285;0,506192687205674;0,342;0,043;1;"8";"Rap1gapos"
"Hap11";0,000629745488838564;0,424156254899356;0,235;0,019;1;"8";"Hap1"
"Samd9l";0,000699540821743376;0,658382472544158;0,357;0,096;1;"8";"Samd9l"
"Pfkfb3";0,000714851295833712;0,518951306887678;0,31;0,051;1;"8";"Pfkfb3"
"Slc26a2";0,000746443517918423;0,618513175881336;0,423;0,152;1;"8";"Slc26a2"
"Ncf2";0,000828338853037929;0,470520738676452;0,289;0,055;1;"8";"Ncf2"
"Nradd";0,000828412366668014;0,428661306652042;0,321;0,087;1;"8";"Nradd"
"Siglecf";0,000953238438393706;0,63987618302246;0,22;0,001;1;"8";"Siglecf"
