"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Lpl";1,75772825245758e-183;0,823306810273089;0,521;0,385;3,94399065286432e-179;"Lpl"
"Scand1";8,33646644894226e-180;-0,435981957839572;0,495;0,651;1,87053634181367e-175;"Scand1"
"Atp5h";1,59380444678036e-178;-0,318612468348018;0,795;0,889;3,57617841768578e-174;"Atp5h"
"Eef1b2";5,97196208875186e-178;-0,324526764100164;0,801;0,888;1,33998885347414e-173;"Eef1b2"
"Apod";2,8394957030069e-177;0,747803079141899;0,119;0,031;6,37126045840688e-173;"Apod"
"Snrpd2";3,33706414745566e-172;-0,415270776368619;0,381;0,541;7,487704534061e-168;"Snrpd2"
"Tcf4";6,72675924524728e-172;0,608282126728327;0,814;0,763;1,50935023944858e-167;"Tcf4"
"Eif3k";8,31175274179274e-171;-0,386701046397484;0,465;0,623;1,86499108020345e-166;"Eif3k"
"Ndufs7";1,2114035079481e-170;-0,412972257045514;0,402;0,562;2,71814719113394e-166;"Ndufs7"
"Rarres2";1,22217336047683e-170;-0,427134501721187;0,751;0,821;2,74231258623792e-166;"Rarres2"
"Gabarap";3,62601084112132e-169;-0,366419056639053;0,628;0,758;8,13604312530801e-165;"Gabarap"
"Cox5b";7,61223997055071e-167;-0,38954741891102;0,56;0,701;1,70803440459217e-162;"Cox5b"
"Cox7b";1,27025583854845e-166;-0,403827538833263;0,403;0,563;2,85020005053501e-162;"Cox7b"
"Ndufb11";1,56828309475997e-164;-0,346698490250978;0,589;0,732;3,51891360802243e-160;"Ndufb11"
"Atp5g2";2,19151221543986e-164;-0,350605422429753;0,693;0,811;4,91731510900395e-160;"Atp5g2"
"Mgp";3,41973362462945e-164;-0,727717387581484;0,56;0,684;7,67319830694355e-160;"Mgp"
"Prdx2";3,20797058828538e-163;-0,392313810236094;0,417;0,573;7,19804440599473e-159;"Prdx2"
"Tcf21";1,69298866520469e-159;-0,594843781257479;0,471;0,596;3,79872796698628e-155;"Tcf21"
"Micos13";6,6121774725292e-159;-0,394550793635357;0,275;0,426;1,4836403812861e-154;"Micos13"
"Ccn1";6,84704541256286e-158;0,733179754508608;0,563;0,431;1,53634004967086e-153;"Ccn1"
"Cox4i1";2,04374039420557e-157;-0,277536350726156;0,867;0,929;4,58574469651846e-153;"Cox4i1"
"Mpc2";3,9233190847841e-157;-0,388532842863883;0,376;0,53;8,80314336243857e-153;"Mpc2"
"Rhob";1,11287810221155e-155;0,614870589211119;0,674;0,585;2,49707588574228e-151;"Rhob"
"Mrps24";1,08817564939382e-154;-0,398897259925817;0,294;0,442;2,44164852210986e-150;"Mrps24"
"Ppp1r2";6,21851009123865e-153;0,548241864774944;0,644;0,566;1,39530929427213e-148;"Ppp1r2"
"Prdx4";3,19025708857724e-152;-0,400927412472483;0,239;0,381;7,1582988553496e-148;"Prdx4"
"Ndufb10";8,13307819580716e-152;-0,383607620029879;0,484;0,629;1,82490008557521e-147;"Ndufb10"
"Spon2";2,67334036437296e-151;-0,429553494931827;0,531;0,659;5,99844110958005e-147;"Spon2"
