"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Fosb";6,81265302144301e-188;0,478969168961346;0,79;0,697;1,52862308495138e-183;"Fosb"
"Mrps24";3,22118081234401e-187;-0,522824304252394;0,143;0,27;7,22768550673748e-183;"Mrps24"
"Selenom";1,86466849222954e-179;-0,44278804769404;0,086;0,194;4,18394316286465e-175;"Selenom"
"Slc38a2";1,0666336266355e-178;0,539966713610469;0,688;0,565;2,39331253144474e-174;"Slc38a2"
"Scand1";1,4905307642179e-177;-0,574937650486443;0,343;0,482;3,34445292875212e-173;"Scand1"
"Idi1";6,92253149351937e-177;0,62486248464163;0,376;0,234;1,55327761651588e-172;"Idi1"
"Nkg7";6,4407384880926e-175;-0,895660417424104;0,134;0,254;1,44517290195822e-170;"Nkg7"
"H2-Q6";6,58385348879267e-175;0,50281844168546;0,685;0,533;1,4772850458153e-170;"H2-Q6"
"Zfp36";9,21184537105039e-175;0,635044665359716;0,648;0,527;2,06695386435629e-170;"Zfp36"
"Dpysl2";2,60036442355932e-172;0,55868928466081;0,276;0,148;5,83469769358241e-168;"Dpysl2"
"Tspo";9,67503517629088e-172;-0,537970943473786;0,243;0,376;2,17088439285615e-167;"Tspo"
"Junb";3,04950195605681e-169;0,529007422087131;0,949;0,897;6,84247248900026e-165;"Junb"
"Spcs2";5,22601971991007e-169;-0,597652149365105;0,378;0,478;1,17261430475342e-164;"Spcs2"
"Actb";4,93170388708535e-167;0,400430357478905;0,99;0,985;1,10657571818421e-162;"Actb"
"H2afj";7,35878486610913e-166;-0,534149743605093;0,419;0,552;1,65116414825757e-161;"H2afj"
"Fads2";1,23545551876881e-165;0,402869745018283;0,137;0,049;2,77211509301346e-161;"Fads2"
"Defa24";2,34022754400417e-162;-1,41510227286568;0,088;0,191;5,25100256323656e-158;"Defa24"
"Ptp4a2";1,16123434109465e-161;0,384734397658058;0,76;0,681;2,60557761454818e-157;"Ptp4a2"
"Micos13";2,99735368447055e-160;-0,544668790911939;0,175;0,296;6,72546219721502e-156;"Micos13"
"Laptm5";6,83081823912847e-159;0,447405202312905;0,792;0,704;1,53269899649565e-154;"Laptm5"
"Rnaseh2c";2,05672992211836e-155;-0,500031838482249;0,16;0,278;4,61489059924918e-151;"Rnaseh2c"
"Rabac1";3,42831656584284e-155;-0,496890052946795;0,347;0,469;7,69245671043817e-151;"Rabac1"
"Tma7";8,62446946909896e-155;-0,493362647859598;0,439;0,571;1,93515845947643e-150;"Tma7"
"Cd3d";5,78661585912957e-152;-0,742977608905522;0,168;0,284;1,29840086647149e-147;"Cd3d"
"Atp5j";3,70796026749141e-150;-0,511751331356765;0,351;0,476;8,31992124819723e-146;"Atp5j"
"Ppia";5,6247585895442e-148;-0,351269073687067;0,876;0,928;1,26208333232193e-143;"Ppia"
"Cd83";3,8548322497839e-147;0,621291923062658;0,503;0,366;8,64947260206512e-143;"Cd83"
"Ppib";5,26340963678206e-147;-0,594778329484928;0,329;0,434;1,18100385430116e-142;"Ppib"
"Tkt";3,78858174903135e-146;0,548596889772746;0,421;0,297;8,50081972847654e-142;"Tkt"
"Gapdh";6,14836277000151e-146;-0,480578492618574;0,509;0,633;1,37956963833294e-141;"Gapdh"
"Atp6v1f";1,51769760157412e-145;-0,483595286288615;0,371;0,497;3,40540987841201e-141;"Atp6v1f"
"Dusp1";3,00806495124646e-144;0,730260313007631;0,664;0,56;6,74949613760681e-140;"Dusp1"
"Rnasek";1,16127169480262e-143;-0,498672434700627;0,282;0,401;2,60566142879812e-139;"Rnasek"
"Srp14";3,27364630870153e-143;-0,491642087091438;0,32;0,442;7,3454075874645e-139;"Srp14"
"Cd3g";2,55086675850682e-142;-0,721975097122011;0,202;0,318;5,72363483273761e-138;"Cd3g"
"Lpcat3";2,69170457451369e-141;0,370147403798245;0,115;0,039;6,03964672429381e-137;"Lpcat3"
"Mien1";4,98243612703568e-141;-0,518993557820134;0,175;0,287;1,11795901818426e-136;"Mien1"
"Cyba";1,10126756103256e-138;-0,460618607332529;0,472;0,576;2,47102415344486e-134;"Cyba"
"Eif3k";2,10448967205705e-136;-0,472592234137712;0,368;0,489;4,72205392616161e-132;"Eif3k"
"Eef1d";1,59583176041229e-134;-0,460713929777017;0,351;0,475;3,5807273040131e-130;"Eef1d"
"Ndufb11";2,25558691349825e-133;-0,453896474925605;0,392;0,504;5,06108591650737e-129;"Ndufb11"
"Mid1ip1";3,47778467376031e-133;0,424570709224779;0,104;0,034;7,80345325098337e-129;"Mid1ip1"
"Cyp51";1,87833232457922e-132;0,587729224742282;0,383;0,258;4,21460206989085e-128;"Cyp51"
"H2-K1";2,77417007903689e-132;0,245505424378414;0,97;0,955;6,22468282334297e-128;"H2-K1"
"Csrnp1";3,87444784202538e-132;0,570292894375965;0,429;0,306;8,69348606793655e-128;"Csrnp1"
"Fam49b";6,16491183250559e-132;0,50533743682927;0,473;0,351;1,3832829169776e-127;"Fam49b"
"Gm11808";2,68488791924344e-131;-0,557538487479741;0,142;0,244;6,02435151319843e-127;"Gm11808"
"Gzma";1,12946756150782e-130;-1,55111212015047;0,089;0,182;2,53429931451124e-126;"Gzma"
"Ly6e";1,85197888220778e-130;0,332471598635256;0,792;0,739;4,15547021589782e-126;"Ly6e"
"Neat1";2,70971603600766e-130;0,422115387363884;0,711;0,619;6,08006084159399e-126;"Neat1"
"Ndufb9";4,07893822920364e-130;-0,479239479171396;0,347;0,452;9,15232159868713e-126;"Ndufb9"
"S100a11";2,96877787736384e-129;-0,582399255282407;0,266;0,384;6,66134380122898e-125;"S100a11"
"Sec61b";2,1285477509533e-127;-0,509828872498615;0,516;0,601;4,77603544358901e-123;"Sec61b"
"Ppp1r11";3,00422542552136e-127;-0,482861652581888;0,207;0,321;6,74088100978483e-123;"Ppp1r11"
"Nedd8";8,62522873164357e-127;-0,504225723656921;0,222;0,336;1,93532882280618e-122;"Nedd8"
"Ubl5";3,0067931678593e-126;-0,417292742382883;0,545;0,653;6,7466425100427e-122;"Ubl5"
"Acaca";3,25249482114041e-126;0,338748415271049;0,107;0,037;7,29794787967485e-122;"Acaca"
"Sec11c";1,18152366429675e-125;-0,643873896941026;0,44;0,513;2,65110279794904e-121;"Sec11c"
"1110008P14Rik";1,87206109061217e-123;-0,438766771416235;0,146;0,245;4,20053067511558e-119;"1110008P14Rik"
"Sec61g";3,23544382302951e-123;-0,396744484248742;0,511;0,61;7,2596888501136e-119;"Sec61g"
"Irf2bp2";3,25198005320246e-122;0,467788111088499;0,527;0,403;7,29679284337567e-118;"Irf2bp2"
"Nxf1";5,06869852987661e-120;0,472772438437245;0,31;0,196;1,13731457613371e-115;"Nxf1"
"Grk2";1,6347288302442e-119;0,457367185477573;0,471;0,351;3,66800454930195e-115;"Grk2"
"Atp5d";2,01358192279996e-119;-0,444092911711128;0,325;0,439;4,51807511837854e-115;"Atp5d"
"Dph3";6,70060796509116e-117;-0,438689538011464;0,153;0,252;1,50348241520715e-112;"Dph3"
"Smdt1";8,82326978431371e-117;-0,456839323825324;0,314;0,429;1,97976527420431e-112;"Smdt1"
"Pabpc1";3,87903611291496e-116;0,323901685250056;0,894;0,86;8,70378123015858e-112;"Pabpc1"
"Ier2";5,15024799466541e-115;0,483281290169492;0,588;0,481;1,15561264504303e-110;"Ier2"
"Arpc3";1,22561138705132e-113;-0,456296422491345;0,536;0,643;2,75002683026575e-109;"Arpc3"
"Gabarapl2";3,22817066159077e-113;-0,453874044956452;0,267;0,375;7,24336933047737e-109;"Gabarapl2"
"Itm2b";3,95530260016227e-113;-0,400942951799474;0,581;0,673;8,87490797424411e-109;"Itm2b"
"Polr1d";8,16673147742454e-113;-0,454229414173742;0,31;0,42;1,83245120890452e-108;"Polr1d"
"Klf6";2,49611837738347e-112;0,507888425442208;0,732;0,663;5,60079041517302e-108;"Klf6"
"Srsf5";3,92035140073961e-112;0,339281031996089;0,826;0,767;8,79648447297955e-108;"Srsf5"
"Atp5g2";4,47909583053817e-112;-0,375037910236844;0,564;0,668;1,00501952245615e-107;"Atp5g2"
"Cenpx";9,11512468463761e-112;-0,424414548971924;0,089;0,172;2,04525167673899e-107;"Cenpx"
"Atp6v0e";1,99663920597829e-111;-0,419233463441233;0,283;0,395;4,48005905037409e-107;"Atp6v0e"
"Emp3";9,55604271272351e-111;-0,433650123332769;0,183;0,283;2,1441848638809e-106;"Emp3"
"Cox6c";1,72499544451873e-110;-0,350812554776496;0,544;0,659;3,87054477841112e-106;"Cox6c"
"Snrpd2";2,47291187009966e-110;-0,446912754387418;0,228;0,334;5,54871965412961e-106;"Snrpd2"
"Abracl";4,89593156565422e-109;-0,41039327922919;0,396;0,508;1,09854912470149e-104;"Abracl"
"Dck";1,86242585890517e-108;0,409629773089328;0,154;0,075;4,17891114221142e-104;"Dck"
"Sod1";1,91224615014699e-108;0,37951902488302;0,591;0,484;4,29069791169982e-104;"Sod1"
"Rsrp1";2,78285896535318e-107;0,385963449126822;0,71;0,618;6,24417894645947e-103;"Rsrp1"
"Tsc22d3";1,93841617075215e-106;0,463261572895712;0,596;0,5;4,34941820393366e-102;"Tsc22d3"
"Hnrnpdl";2,01686161476387e-106;0,428616892318187;0,544;0,437;4,52543409120718e-102;"Hnrnpdl"
"Bcl2a1b";8,23733179796103e-106;-0,758090686841104;0,229;0,323;1,8482925088265e-101;"Bcl2a1b"
"Mpc2";9,81041377316094e-106;-0,443688461656867;0,192;0,289;2,20126064242185e-101;"Mpc2"
"Gm15472";2,52997340434333e-103;-0,520341203229939;0,092;0,173;5,67675432466556e-99;"Gm15472"
"Hnrnpa2b1";3,85742697405578e-103;0,300534220914303;0,852;0,799;8,65529464438637e-99;"Hnrnpa2b1"
"Rbx1";4,02050851418295e-103;-0,422496748861499;0,337;0,441;9,02121700412371e-99;"Rbx1"
"Lpin1";1,86882490697244e-102;0,399724725324563;0,16;0,081;4,19326932626475e-98;"Lpin1"
"Ndufa7";5,70854857937216e-102;-0,420728461776137;0,3;0,404;1,28088413023952e-97;"Ndufa7"
"Fus";4,29126229720073e-101;0,35751296356046;0,748;0,655;9,628734342459e-97;"Fus"
"Psenen";1,41168904216028e-99;-0,392765103976182;0,252;0,354;3,16754787279924e-95;"Psenen"
"Park7";1,13678733222812e-98;-0,424088490596915;0,206;0,302;2,55072341605346e-94;"Park7"
"Cox7b";8,18420350353467e-98;-0,440255968964893;0,287;0,387;1,83637158212311e-93;"Cox7b"
"Prdx5";2,84991777852773e-96;-0,454407315445026;0,161;0,252;6,39464551146052e-92;"Prdx5"
"Snrnp70";1,50021284221768e-93;0,340337005936516;0,708;0,627;3,36617757536803e-89;"Snrnp70"
"Ppp1r18";2,85994665300268e-93;0,418763903218152;0,314;0,214;6,41714830000741e-89;"Ppp1r18"
"Smap1";2,23084448958792e-92;-0,432530692613704;0,187;0,278;5,00556886573738e-88;"Smap1"
"Ndufs5";4,56644969704113e-92;-0,421943529961501;0,24;0,33;1,02461998302209e-87;"Ndufs5"
"Calm1";7,19627514641117e-92;-0,308199112108;0,68;0,769;1,61470021735174e-87;"Calm1"
"Cox7a2";2,4227365147267e-91;-0,361702399115184;0,423;0,522;5,43613619174378e-87;"Cox7a2"
"Trim25";7,70034752062582e-91;0,451446386370731;0,316;0,221;1,72780397667802e-86;"Trim25"
"Txn1";2,27603237008476e-90;-0,37416747398049;0,44;0,529;5,10696143199618e-86;"Txn1"
"Ndufb5";4,34785928823275e-90;-0,387441445427747;0,284;0,381;9,75572667093664e-86;"Ndufb5"
"Ndufb10";8,13223124225423e-89;-0,396015529805686;0,269;0,364;1,824710046137e-84;"Ndufb10"
"Pycard";9,67906060886155e-89;-0,541238251443757;0,215;0,296;2,17178761941635e-84;"Pycard"
"Mrpl54";1,03028956595156e-88;-0,407682996776588;0,208;0,297;2,3117637280821e-84;"Mrpl54"
"Sra1";1,18154214858131e-88;-0,376642869846344;0,089;0,162;2,65114427298675e-84;"Sra1"
"Ddit3";2,98229020413035e-88;0,486490036451647;0,381;0,285;6,69166276002768e-84;"Ddit3"
"Pcbp1";3,2442958195608e-88;0,397527693075534;0,516;0,424;7,27955095993051e-84;"Pcbp1"
"Hcst";7,16542363980569e-88;-0,505534593515392;0,309;0,406;1,6077777562996e-83;"Hcst"
"U2af2";7,67456938432003e-88;0,381990839099321;0,326;0,226;1,72201987845373e-83;"U2af2"
"Hnrnpk";1,61486541426027e-87;0,341843211433114;0,671;0,591;3,62343501651719e-83;"Hnrnpk"
"Atp5e";1,47957926221732e-86;-0,288314742153879;0,674;0,763;3,31987994856323e-82;"Atp5e"
